OID_,FID_SpringCatchData_XYTableToPoint,SpringCatchData_csv_Station,SpringCatchData_csv_SampleDate,SpringCatchData_csv_Latitude,SpringCatchData_csv_Longitude,SpringCatchData_csv_CatchRowID,SpringCatchData_csv_SampleRowID,SpringCatchData_csv_OrganismCode,SpringCatchData_csv_Catch,SpringCatchData_csv_CommonName,Stations_Station,Stations_Lati,Stations_Longi,FID_RiskRegions_DWSC_Update_9292020,Subregion,area_km2,area_hecta,are_mi2,Shape_Leng
12,270,711,17-Feb-22,38-10-23.6,121-38-53.9,9940,4459,12,1,inland silverside,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
13,271,712,17-Feb-22,38-11-20.9,121-38-34.5,9941,4460,12,1,inland silverside,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
14,322,712,16-Mar-22,38-11-25.0,121-38-27.7,9995,4494,0,,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
15,332,711,16-Mar-22,38-10-33.7,121-39-33.7,10005,4499,103,1,Siberian prawn,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
16,333,724,16-Mar-22,38-14-11.9,121-33-32.2,10006,4500,9,8,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
17,408,711,13-Apr-22,38-10-36.1,121-39-40.4,10082,4535,9,7,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
18,409,712,13-Apr-22,38-11-18.4,121-38-37.3,10083,4536,9,31,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
19,416,724,13-Apr-22,38-14-08.8,121-33-31.7,10090,4541,12,4,inland silverside,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
20,417,724,13-Apr-22,38-14-08.8,121-33-31.7,10091,4541,9,30,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
21,518,712,11-May-22,38-11-14.8,121-38-41.2,10180,4579,0,,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
22,519,711,11-May-22,38-10-32.2,121-39-28.7,10181,4580,0,,No Catch,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
23,520,724,11-May-22,38-14-08.1,121-33-32.6,10182,4581,20,1,threadfin shad,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
24,521,724,11-May-22,38-14-08.1,121-33-32.6,10183,4581,12,1,inland silverside,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
25,522,724,11-May-22,38-14-08.1,121-33-32.6,10184,4581,9,9,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
26,612,712,08-Mar-04,,,1136,401,9,1,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
27,613,711,08-Mar-04,,,1137,402,12,1,inland silverside,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
28,614,711,08-Mar-04,,,1138,402,9,1,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
29,646,712,07-Jan-21,38-11-33.5,121-38-20.7,9488,4207,0,,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
30,647,724,07-Jan-21,38-14-17.3,121-33-28.0,9489,4208,0,,No Catch,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
31,648,711,07-Jan-21,38-10-37.7,121-39-43.7,9490,4209,0,,No Catch,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
32,729,711,03-Feb-21,38-10-36.2,121-39-41.0,9572,4258,9,1,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
33,736,712,03-Feb-21,38-11-31.4,121-38-14.0,9579,4263,0,,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
34,737,724,03-Feb-21,38-14-09.2,121-33-32.2,9580,4264,0,,No Catch,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
35,795,712,03-Mar-21,38-11-18.1,121-38-38.4,9638,4301,32,1,steelhead,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
36,796,711,03-Mar-21,38-10-35.4,121-39-38.2,9639,4302,0,,No Catch,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
37,797,724,03-Mar-21,38-14-10.7,121-33-32.2,9640,4303,32,1,steelhead,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
38,994,712,07-Apr-04,,,1333,472,0,-1,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
39,995,711,07-Apr-04,,,1334,473,9,2,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
40,1182,712,19-Jan-06,,,3129,785,0,0,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
41,1183,724,19-Jan-06,,,3130,786,0,0,No Catch,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
42,1184,711,19-Jan-06,,,3128,787,20,1,threadfin shad,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
43,1259,712,15-Feb-06,,,2277,822,0,0,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
44,1260,711,15-Feb-06,,,2278,823,0,0,No Catch,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
45,1261,724,15-Feb-06,,,2279,824,0,0,No Catch,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
46,1361,711,16-Mar-06,,,2403,878,9,1,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
47,1362,712,16-Mar-06,,,3141,879,0,0,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
48,1373,724,16-Mar-06,,,2414,884,9,1,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
49,1439,724,12-Apr-06,,,2476,912,0,0,No Catch,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
50,1446,712,12-Apr-06,,,2483,917,9,5,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
51,1447,711,12-Apr-06,,,2484,918,9,4,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
52,1492,711,11-May-06,,,2543,948,9,70,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
53,1494,712,11-May-06,,,2545,950,9,35,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
54,1498,724,11-May-06,,,2548,953,9,65,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
55,1608,712,11-Jan-07,,,2653,1006,20,11,threadfin shad,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
56,1609,712,11-Jan-07,,,2654,1006,9,1,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
57,1631,711,11-Jan-07,,,2677,1017,20,3,threadfin shad,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
58,1632,711,11-Jan-07,,,2678,1017,12,11,inland silverside,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
59,1633,724,11-Jan-07,,,2679,1018,20,1,threadfin shad,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
60,1634,724,11-Jan-07,,,2680,1018,12,20,inland silverside,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
61,1711,712,07-Feb-07,,,2763,1045,20,1,threadfin shad,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
62,1712,712,07-Feb-07,,,2764,1045,32,2,steelhead,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
63,1713,711,07-Feb-07,,,2765,1046,0,0,No Catch,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
64,1714,724,07-Feb-07,,,2766,1047,32,2,steelhead,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
65,1822,711,07-Mar-07,,,2892,1115,32,1,steelhead,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
66,1823,712,07-Mar-07,,,2893,1116,0,0,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
67,1826,724,07-Mar-07,,,2896,1119,9,1,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
68,1944,712,05-Apr-07,,,3019,1174,0,0,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
69,1947,724,05-Apr-07,,,3022,1177,0,0,No Catch,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
70,1958,711,05-Apr-07,,,3035,1184,24,1,delta smelt,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
71,1959,711,05-Apr-07,,,3036,1184,9,14,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
72,1973,712,03-May-07,,,3050,1192,20,1,threadfin shad,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
73,1974,712,03-May-07,,,3051,1192,19,1,American shad,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
74,1975,712,03-May-07,,,3052,1192,9,89,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
75,1978,711,03-May-07,,,3055,1194,9,1,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
76,2103,711,10-Jan-02,,,123,34,9,2,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
77,2104,711,10-Jan-02,,,124,34,20,3,threadfin shad,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
78,2105,712,10-Jan-02,,,125,35,25,2,longfin smelt,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
79,2167,711,06-Feb-02,,,185,61,20,3,threadfin shad,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
80,2168,712,06-Feb-02,,,186,62,20,1,threadfin shad,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
81,2272,711,06-Mar-02,,,296,101,24,41,delta smelt,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
82,2273,711,06-Mar-02,,,297,101,9,1,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
83,2274,711,06-Mar-02,,,298,101,20,5,threadfin shad,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
84,2275,711,06-Mar-02,,,299,101,12,2,inland silverside,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
85,2276,711,06-Mar-02,,,300,101,25,2,longfin smelt,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
86,2289,712,06-Mar-02,,,313,105,9,1,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
87,2290,712,06-Mar-02,,,314,105,20,1,threadfin shad,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
88,2291,712,06-Mar-02,,,315,105,24,1,delta smelt,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
89,2363,712,20-Feb-03,0,0,389,140,9,4,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
90,2364,711,20-Feb-03,0,0,390,141,32,2,steelhead,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
91,2433,711,18-Mar-03,,,495,175,9,26,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
92,2434,711,18-Mar-03,,,496,175,63,1,Sacramento pikeminnow,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
93,2435,711,18-Mar-03,,,497,175,24,2,delta smelt,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
94,2448,712,18-Mar-03,,,510,179,9,10,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
95,2449,712,18-Mar-03,,,511,179,24,12,delta smelt,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
96,2567,712,15-Apr-03,,,643,225,63,1,Sacramento pikeminnow,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
97,2568,712,15-Apr-03,,,644,225,9,1,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
98,2569,712,15-Apr-03,,,645,225,24,1,delta smelt,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
99,2570,711,15-Apr-03,,,646,226,9,21,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
100,2637,711,14-May-03,,,740,274,29,1,splittail,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
101,2638,711,14-May-03,,,741,274,9,20,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
102,2639,712,14-May-03,,,743,276,0,-1,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
103,2723,712,13-Jan-04,,,827,308,20,1,threadfin shad,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
104,2724,712,13-Jan-04,,,828,308,9,2,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
105,2725,711,13-Jan-04,,,829,309,9,1,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
106,2861,712,09-Feb-04,,,1042,351,0,0,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
107,2862,711,09-Feb-04,,,969,352,32,2,steelhead,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
108,3047,712,07-May-04,,,1517,538,9,7,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
109,3048,711,07-May-04,,,1518,539,9,19,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
110,3113,712,28-Jan-05,,,1609,574,0,-1,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
111,3114,711,28-Jan-05,,,1610,575,0,-1,No Catch,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
112,3229,711,25-Feb-05,,,1747,626,9,2,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
113,3230,711,25-Feb-05,,,1748,626,32,2,steelhead,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
114,3231,724,25-Feb-05,,,1749,627,63,1,Sacramento pikeminnow,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
115,3232,724,25-Feb-05,,,1750,627,9,9,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
116,3233,724,25-Feb-05,,,1751,627,32,1,steelhead,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
117,3234,712,25-Feb-05,,,1752,628,9,1,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
118,3235,712,25-Feb-05,,,1753,628,32,5,steelhead,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
119,3321,712,23-Mar-05,,,1850,660,0,0,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
120,3322,711,23-Mar-05,,,1851,661,12,1,inland silverside,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
121,3323,711,23-Mar-05,,,1852,661,9,1,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
122,3324,711,23-Mar-05,,,1853,661,32,1,steelhead,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
123,3325,724,24-Mar-05,,,1854,662,24,1,delta smelt,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
124,3326,724,24-Mar-05,,,1855,662,19,1,American shad,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
125,3327,724,24-Mar-05,,,1856,662,9,14,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
126,3405,711,18-Apr-05,,,1959,692,12,4,inland silverside,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
127,3406,711,18-Apr-05,,,1960,692,9,4,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
128,3407,711,18-Apr-05,,,1961,692,24,1,delta smelt,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
129,3408,712,18-Apr-05,,,1962,693,0,-1,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
130,3490,724,03-May-07,,,3058,1196,9,133,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
131,3645,712,09-Jan-08,38-11-0.1,121-39-10.8,3251,1255,9,4,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
132,3646,712,09-Jan-08,38-11-0.1,121-39-10.8,3252,1255,33,1,striped bass age 0,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
133,3647,712,09-Jan-08,38-11-0.1,121-39-10.8,3253,1255,5,1,white catfish,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
134,3648,712,09-Jan-08,38-11-0.1,121-39-10.8,3254,1255,10,3,Pacific lamprey,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
135,3649,712,09-Jan-08,38-11-0.1,121-39-10.8,3255,1255,52,1,bluegill,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
136,3650,724,09-Jan-08,38-14-12.8,121-33-31.2,3256,1256,20,3,threadfin shad,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
137,3651,724,09-Jan-08,38-14-12.8,121-33-31.2,3257,1256,9,2,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
138,3652,724,09-Jan-08,38-14-12.8,121-33-31.2,3258,1256,32,2,steelhead,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
139,3653,724,09-Jan-08,38-14-12.8,121-33-31.2,3259,1256,11,6,river lamprey,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
140,3673,711,09-Jan-08,38-10-59.3,121-47-9.7,3279,1269,20,3,threadfin shad,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
141,3674,711,09-Jan-08,38-10-59.3,121-47-9.7,3280,1269,9,2,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
142,3675,711,09-Jan-08,38-10-59.3,121-47-9.7,3281,1269,11,22,river lamprey,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
143,3731,712,04-Feb-08,38-10-56.7,121-39-22.7,3337,1288,0,0,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
144,3732,711,04-Feb-08,38-10-36.1,121-39-43.9,3338,1289,32,2,steelhead,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
145,3733,724,04-Feb-08,38-14-10.3,121-33-32.6,3339,1290,9,1,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
146,3734,724,04-Feb-08,38-14-10.3,121-33-32.6,3340,1290,11,1,river lamprey,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
147,3814,711,10-Mar-08,,,3422,1327,0,0,No Catch,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
148,3815,724,10-Mar-08,,,3423,1328,0,0,No Catch,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
149,3821,712,10-Mar-08,,,3429,1332,0,0,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
150,3888,712,09-Apr-08,,,3491,1368,0,0,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
151,3889,711,09-Apr-08,,,3492,1369,0,0,No Catch,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
152,3890,724,09-Apr-08,,,3493,1370,0,0,No Catch,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
153,3979,711,07-May-08,,,3602,1427,0,0,No Catch,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
154,3986,712,07-May-08,,,3610,1432,9,375,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
155,3987,724,07-May-08,,,3611,1433,9,37,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
156,4071,724,14-Jan-09,38-14-2.9,121-33-31.9,3714,1476,20,1,threadfin shad,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
157,4072,712,14-Jan-09,38-10-57.4,121-39-24,3715,1477,20,2,threadfin shad,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
158,4073,711,14-Jan-09,38-10-35.6,121-39-40.7,3716,1478,20,2,threadfin shad,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
159,4169,712,11-Feb-09,,,3813,1529,32,1,steelhead,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
160,4170,711,11-Feb-09,,,3814,1530,0,0,No Catch,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
161,4171,724,11-Feb-09,,,3815,1531,32,5,steelhead,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
162,4246,712,18-Mar-09,,,3891,1568,0,0,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
163,4247,711,18-Mar-09,,,3892,1569,29,1,splittail,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
164,4248,724,18-Mar-09,,,3893,1570,0,0,No Catch,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
165,4314,724,15-Apr-09,,,3958,1603,9,10,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
166,4324,711,15-Apr-09,,,3967,1609,9,1,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
167,4325,712,15-Apr-09,,,3968,1610,0,0,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
168,4401,712,12-May-09,,,4044,1643,9,5,chinook salmon,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
169,4402,711,12-May-09,,,4045,1644,9,3,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
170,4423,724,14-May-09,,,4066,1659,9,7,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
171,4450,712,13-Jan-10,38-11-25.2,121-38-26.4,4113,1689,0,0,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
172,4451,724,13-Jan-10,38-14-16.4,121-33-28.9,4114,1690,0,0,No Catch,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
173,4463,711,13-Jan-10,38-10-38.7,121-39-45.7,4115,1695,0,0,No Catch,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
174,4546,712,10-Feb-10,38-11-01.9,121-39-4.1,4338,1770,0,0,No Catch,712,38.1914711,-121.6392212,2,Sacramento River,536,53600,207,1.544489643430000
175,4547,711,10-Feb-10,38-10-32.9,121-39-31.3,4339,1771,32,1,steelhead,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
176,4548,711,10-Feb-10,38-10-32.9,121-39-31.3,4340,1771,9,1,chinook salmon,711,38.1774178,-121.6622467,2,Sacramento River,536,53600,207,1.544489643430000
177,4553,724,10-Feb-10,38-14-11.6,121-33-31.7,4345,1773,32,2,steelhead,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
178,4554,724,10-Feb-10,38-14-11.6,121-33-31.7,4346,1773,9,1,chinook salmon,724,38.2369728,-121.5587769,2,Sacramento River,536,53600,207,1.544489643430000
